posicion,timestamp_ttn,application_id,device_id,dev_eui,dev_addr,f_cnt,f_port,frm_payload_b64,payload_decoded,format,beacon_id,seq,tx_ms,gateway_id,gateway_eui,gateway_used_for_analysis,rssi,channel_rssi,snr,frequency_hz,spreading_factor,bandwidth_hz,coding_rate,consumed_airtime,cluster_id
H02,2026-07-06T20:08:26.638549534Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,11,1,TE9SQVdBTjEsSDAyLDExLDQwNDk4Mg==,"LORAWAN1,H02,11,404982",LORAWAN1,H02,11,404982,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-4.5,867900000,7,125000,4/5,0.077056s,eu1
H02,2026-07-06T20:07:50.411511346Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,10,1,TE9SQVdBTjEsSDAyLDEwLDM2ODc4NQ==,"LORAWAN1,H02,10,368785",LORAWAN1,H02,10,368785,loragateway-tfgalvaro,0016C001F1618810,True,-115,-115,3.8,867100000,7,125000,4/5,0.077056s,eu1
H02,2026-07-06T20:07:14.284825354Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,9,1,TE9SQVdBTjEsSDAyLDksMzMyNTg4,"LORAWAN1,H02,9,332588",LORAWAN1,H02,9,332588,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-2,867700000,7,125000,4/5,0.077056s,eu1
H02,2026-07-06T20:06:38.078565915Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,8,1,TE9SQVdBTjEsSDAyLDgsMjk2Mzkx,"LORAWAN1,H02,8,296391",LORAWAN1,H02,8,296391,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-2.2,867500000,7,125000,4/5,0.077056s,eu1
H02,2026-07-06T20:06:01.898983652Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BBAF6,7,1,TE9SQVdBTjEsSDAyLDcsMjYwMTk0,"LORAWAN1,H02,7,260194",LORAWAN1,H02,7,260194,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-1.5,867900000,7,125000,4/5,0.077056s,eu1
H03,2026-07-07T19:28:57.446476828Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,12,1,TE9SQVdBTjEsSDAzLDEyLDQ0Mzk5NA==,"LORAWAN1,H03,12,443994",LORAWAN1,H03,12,443994,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-3.8,867500000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:28:21.080879377Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,11,1,TE9SQVdBTjEsSDAzLDExLDQwNzYyNw==,"LORAWAN1,H03,11,407627",LORAWAN1,H03,11,407627,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-3.8,867900000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:27:44.705787762Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,10,1,TE9SQVdBTjEsSDAzLDEwLDM3MTI2MA==,"LORAWAN1,H03,10,371260",LORAWAN1,H03,10,371260,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-6.2,868500000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:27:08.343574161Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,9,1,TE9SQVdBTjEsSDAzLDksMzM0ODkz,"LORAWAN1,H03,9,334893",LORAWAN1,H03,9,334893,loragateway-tfgalvaro,0016C001F1618810,True,-120,-120,-4.5,867700000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:26:31.972284067Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,8,1,TE9SQVdBTjEsSDAzLDgsMjk4NTI2,"LORAWAN1,H03,8,298526",LORAWAN1,H03,8,298526,loragateway-tfgalvaro,0016C001F1618810,True,-120,-120,-5,867300000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:25:55.602939309Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,7,1,TE9SQVdBTjEsSDAzLDcsMjYyMTU5,"LORAWAN1,H03,7,262159",LORAWAN1,H03,7,262159,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-5.2,867900000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:25:19.237485696Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,6,1,TE9SQVdBTjEsSDAzLDYsMjI1Nzky,"LORAWAN1,H03,6,225792",LORAWAN1,H03,6,225792,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-5.5,868300000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:24:42.881553279Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,5,1,TE9SQVdBTjEsSDAzLDUsMTg5NDI1,"LORAWAN1,H03,5,189425",LORAWAN1,H03,5,189425,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-2.8,867300000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:24:06.570122716Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,4,1,TE9SQVdBTjEsSDAzLDQsMTUzMDU4,"LORAWAN1,H03,4,153058",LORAWAN1,H03,4,153058,loragateway-tfgalvaro,0016C001F1618810,True,-121,-121,-7.5,867700000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:22:53.797247642Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,2,1,TE9SQVdBTjEsSDAzLDIsODAzMjQ=,"LORAWAN1,H03,2,80324",LORAWAN1,H03,2,80324,loragateway-tfgalvaro,0016C001F1618810,True,-119,-119,-3.5,867500000,9,125000,4/5,0.246784s,eu1
H03,2026-07-07T19:22:17.489717185Z,tfg-lorawan-heltec,heltec01,70B3D57ED00781AE,260BB75A,1,1,TE9SQVdBTjEsSDAzLDEsNDM5NTc=,"LORAWAN1,H03,1,43957",LORAWAN1,H03,1,43957,loragateway-tfgalvaro,0016C001F1618810,True,-122,-122,-9.5,868100000,9,125000,4/5,0.246784s,eu1
